home_team,away_team,Attendance,Date
Argentina,France,88966,2022-12-18
Croatia,Morocco,44137,2022-12-17
France,Morocco,68294,2022-12-14
Argentina,Croatia,88966,2022-12-13
Morocco,Portugal,44198,2022-12-10
England,France,68895,2022-12-10
Croatia,Brazil,43893,2022-12-09
Netherlands,Argentina,88235,2022-12-09
Morocco,Spain,44667,2022-12-06
Portugal,Switzerland,83720,2022-12-06
Japan,Croatia,42523,2022-12-05
Brazil,Korea Republic,43847,2022-12-05
France,Poland,40989,2022-12-04
England,Senegal,65985,2022-12-04
Netherlands,United States,44846,2022-12-03
Argentina,Australia,45032,2022-12-03
Korea Republic,Portugal,44097,2022-12-02
Ghana,Uruguay,43443,2022-12-02
Cameroon,Brazil,85986,2022-12-02
Serbia,Switzerland,41378,2022-12-02
Canada,Morocco,43102,2022-12-01
Croatia,Belgium,43984,2022-12-01
Costa Rica,Germany,67054,2022-12-01
Japan,Spain,44851,2022-12-01
Australia,Denmark,41232,2022-11-30
Tunisia,France,43627,2022-11-30
Saudi Arabia,Mexico,84985,2022-11-30
Poland,Argentina,44089,2022-11-30
Ecuador,Senegal,44569,2022-11-29
Netherlands,Qatar,66784,2022-11-29
IR Iran,United States,42127,2022-11-29
Wales,England,44297,2022-11-29
Cameroon,Serbia,39789,2022-11-28
Korea Republic,Ghana,43983,2022-11-28
Brazil,Switzerland,43649,2022-11-28
Portugal,Uruguay,88668,2022-11-28
Japan,Costa Rica,41479,2022-11-27
Belgium,Morocco,43738,2022-11-27
Croatia,Canada,44374,2022-11-27
Spain,Germany,68895,2022-11-27
Tunisia,Australia,41823,2022-11-26
Poland,Saudi Arabia,44259,2022-11-26
France,Denmark,42860,2022-11-26
Argentina,Mexico,88966,2022-11-26
Wales,IR Iran,40875,2022-11-25
Qatar,Senegal,41797,2022-11-25
Netherlands,Ecuador,44833,2022-11-25
England,United States,68463,2022-11-25
Switzerland,Cameroon,39089,2022-11-24
Uruguay,Korea Republic,41663,2022-11-24
Portugal,Ghana,42662,2022-11-24
Brazil,Serbia,88103,2022-11-24
Morocco,Croatia,59407,2022-11-23
Germany,Japan,42608,2022-11-23
Spain,Costa Rica,40013,2022-11-23
Belgium,Canada,40432,2022-11-23
Argentina,Saudi Arabia,88012,2022-11-22
Denmark,Tunisia,42925,2022-11-22
Mexico,Poland,39369,2022-11-22
France,Australia,40875,2022-11-22
England,IR Iran,45334,2022-11-21
Senegal,Netherlands,41721,2022-11-21
United States,Wales,43418,2022-11-21
